,Unnamed: 0,POINT_ID,CURRENT,FORCE,TH_ORDER,TH1,TH2,TH3,1,10,r_max_time,r_max,slope_exp,intercept_exp,assesment_txt,OK,anomaly,gap,shunt
151,151,527234,8.5,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,264,112,113.0,101.0,-0.008578826663438,5.584527929809754,shunt,0,0,0,1
152,152,527560,7.9,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,171,103,130.0,121.0,-0.0026811861310536,5.144344742633714,OK,1,0,0,0
153,153,527700,8.4,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,179,88,105.0,92.0,-0.0063999733537664,5.1937857791945214,OK,1,0,0,0
154,154,527576,7.9,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,195,156,38.0,160.0,-0.0053466417116194,5.278346200275366,OK,1,0,0,0
155,155,527701,8.4,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,181,107,32.0,107.0,-0.016957038606578,5.215454069872404,gap,0,0,1,0
156,156,527287,8.4,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,157,92,128.0,113.0,-0.0025894329656375,5.058835238313946,OK,1,0,0,0
157,157,527288,8.4,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,151,102,125.0,102.0,-0.0031637663187955,5.02044360313372,OK,1,0,0,0
158,158,527290,8.4,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,153,98,163.0,114.0,-0.0018162930431971,5.032254214435633,OK,1,0,0,0
159,159,527292,8.4,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,150,111,26.0,110.0,-0.0124061971321535,5.023041491228409,OK,1,0,0,0
160,160,527293,8.4,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,141,84,126.0,116.0,-0.0015613575941744,4.950321247972343,OK,1,0,0,0
